TACC:  Starting up job 10364762 
TACC:  Starting parallel tasks... 
0 PPI_feat_L1.txt 7.392e-05 7.3009e-05 9.11e-07
1 PPI_feat_L1.txt 7.8048e-05 7.3112e-05 4.936e-06
2 PPI_feat_L1.txt 7.1483e-05 6.6653e-05 4.83e-06
3 PPI_feat_L1.txt 7.7146e-05 7.169e-05 5.456e-06
4 PPI_feat_L1.txt 7.5844e-05 7.0884e-05 4.96e-06
5 PPI_feat_L1.txt 7.8054e-05 7.2975e-05 5.079e-06
6 PPI_feat_L1.txt 7.0461e-05 6.5446e-05 5.015e-06
7 PPI_feat_L1.txt 7.6247e-05 7.1206e-05 5.041e-06
8 PPI_feat_L1.txt 8.5847e-05 7.1244e-05 1.4603e-05
9 PPI_feat_L1.txt 7.8376e-05 7.2263e-05 6.113e-06
10 PPI_feat_L1.txt 7.1024e-05 6.6379e-05 4.645e-06
11 PPI_feat_L1.txt 7.654e-05 7.1479e-05 5.061e-06
12 PPI_feat_L1.txt 8.4458e-05 7.008e-05 1.4378e-05
13 PPI_feat_L1.txt 7.5998e-05 7.1017e-05 4.981e-06
14 PPI_feat_L1.txt 7.0448e-05 6.5506e-05 4.942e-06
15 PPI_feat_L1.txt 7.5604e-05 7.0594e-05 5.01e-06
0 PPI_A.txt 0.000194799 0.000141966 5.2833e-05
1 PPI_A.txt 0.000155219 0.00011111 4.4109e-05
2 PPI_A.txt 0.000200097 0.000138201 6.1896e-05
3 PPI_A.txt 0.000170681 0.000116434 5.4247e-05
4 PPI_A.txt 0.000169054 0.000120855 4.8199e-05
5 PPI_A.txt 0.000243067 0.000180476 6.2591e-05
6 PPI_A.txt 0.000178575 0.000137248 4.1327e-05
7 PPI_A.txt 0.000165604 0.000115824 4.978e-05
8 PPI_A.txt 0.000194566 0.000143397 5.1169e-05
9 PPI_A.txt 0.0001751 0.000116593 5.8507e-05
10 PPI_A.txt 0.000189081 0.000138375 5.0706e-05
11 PPI_A.txt 0.00017132 0.000117912 5.3408e-05
12 PPI_A.txt 0.000172067 0.000121604 5.0463e-05
13 PPI_A.txt 0.000222378 0.000180214 4.2164e-05
14 PPI_A.txt 0.000147197 0.000137472 9.725e-06
15 PPI_A.txt 0.000118509 0.000115226 3.283e-06
TACC:  Shutdown complete. Exiting. 
