TACC:  Starting up job 10066086 
TACC:  Starting parallel tasks... 
0 Pubmed_feat_L1.txt 0.000669309 0.000297433 0.000371876
1 Pubmed_feat_L1.txt 0.000618094 0.000251509 0.000366585
2 Pubmed_feat_L1.txt 0.000751426 0.000389375 0.000362051
3 Pubmed_feat_L1.txt 0.000689439 0.000275503 0.000413936
4 Pubmed_feat_L1.txt 0.000725145 0.000350569 0.000374576
5 Pubmed_feat_L1.txt 0.000631736 0.00024843 0.000383306
6 Pubmed_feat_L1.txt 0.000809332 0.000407438 0.000401894
7 Pubmed_feat_L1.txt 0.000708069 0.000315709 0.00039236
8 Pubmed_feat_L1.txt 0.00078107 0.000372673 0.000408397
9 Pubmed_feat_L1.txt 0.000707919 0.00029438 0.000413539
10 Pubmed_feat_L1.txt 0.000773974 0.00040199 0.000371984
11 Pubmed_feat_L1.txt 0.000679452 0.000302109 0.000377343
12 Pubmed_feat_L1.txt 0.000818781 0.000386299 0.000432482
13 Pubmed_feat_L1.txt 0.000698224 0.000293687 0.000404537
14 Pubmed_feat_L1.txt 0.000792599 0.000393708 0.000398891
15 Pubmed_feat_L1.txt 0.000644376 0.000219973 0.000424403
16 Pubmed_feat_L1.txt 0.00071513 0.000284995 0.000430135
17 Pubmed_feat_L1.txt 0.000645367 0.000239361 0.000406006
18 Pubmed_feat_L1.txt 0.000767473 0.000391566 0.000375907
19 Pubmed_feat_L1.txt 0.000689024 0.000283191 0.000405833
20 Pubmed_feat_L1.txt 0.000792541 0.000364763 0.000427778
21 Pubmed_feat_L1.txt 0.000659132 0.000255121 0.000404011
22 Pubmed_feat_L1.txt 0.000817787 0.000404903 0.000412884
23 Pubmed_feat_L1.txt 0.000740739 0.000314583 0.000426156
24 Pubmed_feat_L1.txt 0.000738278 0.000368699 0.000369579
25 Pubmed_feat_L1.txt 0.00066119 0.000282477 0.000378713
26 Pubmed_feat_L1.txt 0.000759883 0.00039406 0.000365823
27 Pubmed_feat_L1.txt 0.000670537 0.000288401 0.000382136
28 Pubmed_feat_L1.txt 0.000817868 0.000366941 0.000450927
29 Pubmed_feat_L1.txt 0.000699173 0.000273306 0.000425867
30 Pubmed_feat_L1.txt 0.000802816 0.000388149 0.000414667
31 Pubmed_feat_L1.txt 0.000651818 0.000226431 0.000425387
32 Pubmed_feat_L1.txt 0.000650786 0.000286417 0.000364369
33 Pubmed_feat_L1.txt 0.000678291 0.000245868 0.000432423
34 Pubmed_feat_L1.txt 0.000802374 0.000345705 0.000456669
35 Pubmed_feat_L1.txt 0.000645754 0.000214992 0.000430762
36 Pubmed_feat_L1.txt 0.000744354 0.000317487 0.000426867
37 Pubmed_feat_L1.txt 0.000670005 0.00021183 0.000458175
38 Pubmed_feat_L1.txt 0.000830966 0.000352147 0.000478819
39 Pubmed_feat_L1.txt 0.000716028 0.000249568 0.00046646
40 Pubmed_feat_L1.txt 0.000677745 0.000311034 0.000366711
41 Pubmed_feat_L1.txt 0.000604013 0.00021319 0.000390823
42 Pubmed_feat_L1.txt 0.00074525 0.0003475 0.00039775
43 Pubmed_feat_L1.txt 0.000690886 0.000234512 0.000456374
44 Pubmed_feat_L1.txt 0.000767288 0.000313455 0.000453833
45 Pubmed_feat_L1.txt 0.000638921 0.000238776 0.000400145
46 Pubmed_feat_L1.txt 0.000773379 0.000338834 0.000434545
47 Pubmed_feat_L1.txt 0.000670226 0.000220564 0.000449662
0 Pubmed_A.txt 0.00102411 0.0010075 1.6613e-05
1 Pubmed_A.txt 0.00102648 0.00100085 2.5629e-05
2 Pubmed_A.txt 0.00102184 0.000992919 2.8924e-05
3 Pubmed_A.txt 0.0010237 0.000993069 3.063e-05
4 Pubmed_A.txt 0.00102154 0.000987228 3.4313e-05
5 Pubmed_A.txt 0.000992301 0.000976921 1.538e-05
6 Pubmed_A.txt 0.00100121 0.000970165 3.1042e-05
7 Pubmed_A.txt 0.000992848 0.000965734 2.7114e-05
8 Pubmed_A.txt 0.000985532 0.000957769 2.7763e-05
9 Pubmed_A.txt 0.00100289 0.000957298 4.5594e-05
10 Pubmed_A.txt 0.000987584 0.000951253 3.6331e-05
11 Pubmed_A.txt 0.000976134 0.000941682 3.4452e-05
12 Pubmed_A.txt 0.000976353 0.000938094 3.8259e-05
13 Pubmed_A.txt 0.000878705 0.000847974 3.0731e-05
14 Pubmed_A.txt 0.000854845 0.000824519 3.0326e-05
15 Pubmed_A.txt 0.000847761 0.000801718 4.6043e-05
16 Pubmed_A.txt 0.000811667 0.000775163 3.6504e-05
17 Pubmed_A.txt 0.00082896 0.000811607 1.7353e-05
18 Pubmed_A.txt 0.000845819 0.000808081 3.7738e-05
19 Pubmed_A.txt 0.000841285 0.000801438 3.9847e-05
20 Pubmed_A.txt 0.000831337 0.00079622 3.5117e-05
21 Pubmed_A.txt 0.000845413 0.00079734 4.8073e-05
22 Pubmed_A.txt 0.000860116 0.000803042 5.7074e-05
