TACC:  Starting up job 10066088 
TACC:  Starting parallel tasks... 
0 Citeseer_feat_L1.txt 0.000640158 0.000495085 0.000145073
1 Citeseer_feat_L1.txt 0.000734862 0.000596938 0.000137924
2 Citeseer_feat_L1.txt 0.000681886 0.000546596 0.00013529
3 Citeseer_feat_L1.txt 0.000840723 0.00070475 0.000135973
4 Citeseer_feat_L1.txt 0.000767945 0.000629181 0.000138764
5 Citeseer_feat_L1.txt 0.000742542 0.000608678 0.000133864
6 Citeseer_feat_L1.txt 0.000832922 0.000692264 0.000140658
7 Citeseer_feat_L1.txt 0.000862665 0.000714621 0.000148044
8 Citeseer_feat_L1.txt 0.000689727 0.00054752 0.000142207
9 Citeseer_feat_L1.txt 0.000800175 0.000662552 0.000137623
10 Citeseer_feat_L1.txt 0.000655552 0.000514002 0.00014155
11 Citeseer_feat_L1.txt 0.000904841 0.000762944 0.000141897
12 Citeseer_feat_L1.txt 0.000814226 0.000673112 0.000141114
13 Citeseer_feat_L1.txt 0.000788385 0.000648937 0.000139448
14 Citeseer_feat_L1.txt 0.000843946 0.000699962 0.000143984
15 Citeseer_feat_L1.txt 0.000916019 0.00076219 0.000153829
0 Citeseer_A.txt 0.000214504 0.000204619 9.885e-06
1 Citeseer_A.txt 0.000169287 0.00016206 7.227e-06
2 Citeseer_A.txt 0.000253984 0.00024588 8.104e-06
3 Citeseer_A.txt 0.000210668 0.000201994 8.674e-06
4 Citeseer_A.txt 0.000255626 0.00024616 9.466e-06
5 Citeseer_A.txt 0.000178146 0.000169476 8.67e-06
6 Citeseer_A.txt 0.000208433 0.00019688 1.1553e-05
7 Citeseer_A.txt 0.000205206 0.000190468 1.4738e-05
8 Citeseer_A.txt 0.000216471 0.000202888 1.3583e-05
9 Citeseer_A.txt 0.000174538 0.000158543 1.5995e-05
10 Citeseer_A.txt 0.000258168 0.000239411 1.8757e-05
11 Citeseer_A.txt 0.000229923 0.000206508 2.3415e-05
12 Citeseer_A.txt 0.000268259 0.00024518 2.3079e-05
13 Citeseer_A.txt 0.000203948 0.000180825 2.3123e-05
14 Citeseer_A.txt 0.000219116 0.000200135 1.8981e-05
15 Citeseer_A.txt 0.000215513 0.000196203 1.931e-05
TACC:  Shutdown complete. Exiting. 
