TACC:  Starting up job 10066088 
TACC:  Starting parallel tasks... 
0 Cora_feat_L2.txt 8.855e-05 6.6013e-05 2.2537e-05
1 Cora_feat_L2.txt 9.5208e-05 7.2583e-05 2.2625e-05
2 Cora_feat_L2.txt 0.000111519 8.8746e-05 2.2773e-05
3 Cora_feat_L2.txt 9.0972e-05 6.7729e-05 2.3243e-05
4 Cora_feat_L2.txt 9.0263e-05 6.7304e-05 2.2959e-05
5 Cora_feat_L2.txt 9.8393e-05 7.5034e-05 2.3359e-05
6 Cora_feat_L2.txt 8.1819e-05 5.8125e-05 2.3694e-05
7 Cora_feat_L2.txt 9.4777e-05 7.1889e-05 2.2888e-05
8 Cora_feat_L2.txt 8.782e-05 6.5459e-05 2.2361e-05
9 Cora_feat_L2.txt 0.000101353 7.5852e-05 2.5501e-05
10 Cora_feat_L2.txt 0.000111919 8.934e-05 2.2579e-05
11 Cora_feat_L2.txt 9.9626e-05 6.7564e-05 3.2062e-05
12 Cora_feat_L2.txt 9.053e-05 6.7519e-05 2.3011e-05
13 Cora_feat_L2.txt 9.7741e-05 7.4912e-05 2.2829e-05
14 Cora_feat_L2.txt 7.7471e-05 5.4994e-05 2.2477e-05
15 Cora_feat_L2.txt 9.249e-05 6.9363e-05 2.3127e-05
0 Cora_A.txt 0.000115362 0.000109569 5.793e-06
1 Cora_A.txt 0.000103339 9.8169e-05 5.17e-06
2 Cora_A.txt 0.000112029 0.000105604 6.425e-06
3 Cora_A.txt 0.000114821 0.000108258 6.563e-06
4 Cora_A.txt 0.000142812 0.000134557 8.255e-06
5 Cora_A.txt 0.00011169 0.000104511 7.179e-06
6 Cora_A.txt 0.000121109 0.000112865 8.244e-06
7 Cora_A.txt 0.00012014 0.00011119 8.95e-06
8 Cora_A.txt 0.000168781 0.000158517 1.0264e-05
9 Cora_A.txt 0.000105179 9.721e-05 7.969e-06
10 Cora_A.txt 0.000114861 0.000103001 1.186e-05
11 Cora_A.txt 0.000121863 0.000110093 1.177e-05
12 Cora_A.txt 0.000148602 0.000137414 1.1188e-05
13 Cora_A.txt 0.000120242 0.000110015 1.0227e-05
14 Cora_A.txt 0.000123384 0.000115506 7.878e-06
15 Cora_A.txt 0.000126241 0.000114167 1.2074e-05
TACC:  Shutdown complete. Exiting. 
