TACC:  Starting up job 10364762 
TACC:  Starting parallel tasks... 
0 PPI_feat_L2.txt 0.000131384 0.00010213 2.9254e-05
1 PPI_feat_L2.txt 0.000113755 8.4085e-05 2.967e-05
2 PPI_feat_L2.txt 0.000119523 9.0108e-05 2.9415e-05
3 PPI_feat_L2.txt 0.000116349 8.7692e-05 2.8657e-05
4 PPI_feat_L2.txt 0.000131117 0.000102294 2.8823e-05
5 PPI_feat_L2.txt 0.000110968 8.5822e-05 2.5146e-05
6 PPI_feat_L2.txt 0.000119566 8.937e-05 3.0196e-05
7 PPI_feat_L2.txt 0.000114002 8.8387e-05 2.5615e-05
8 PPI_feat_L2.txt 0.000125946 0.000100075 2.5871e-05
9 PPI_feat_L2.txt 0.000111187 8.5003e-05 2.6184e-05
10 PPI_feat_L2.txt 0.000119811 9.1065e-05 2.8746e-05
11 PPI_feat_L2.txt 0.000111123 8.55e-05 2.5623e-05
12 PPI_feat_L2.txt 0.00013188 0.000101398 3.0482e-05
13 PPI_feat_L2.txt 0.000110612 8.4228e-05 2.6384e-05
14 PPI_feat_L2.txt 0.00011609 9.0769e-05 2.5321e-05
15 PPI_feat_L2.txt 0.000116998 8.8474e-05 2.8524e-05
0 PPI_A.txt 0.00138362 0.000997693 0.000385931
1 PPI_A.txt 0.00132613 0.000985462 0.000340663
2 PPI_A.txt 0.00147821 0.000989734 0.000488478
3 PPI_A.txt 0.00138939 0.000970327 0.000419062
4 PPI_A.txt 0.00133492 0.000954312 0.000380605
5 PPI_A.txt 0.00146815 0.000972242 0.000495911
6 PPI_A.txt 0.00134177 0.00101235 0.000329417
7 PPI_A.txt 0.00133406 0.000951089 0.000382972
8 PPI_A.txt 0.00139758 0.00100424 0.000393341
9 PPI_A.txt 0.00145028 0.000989722 0.000460562
10 PPI_A.txt 0.00136866 0.000989983 0.000378676
11 PPI_A.txt 0.00137343 0.000975345 0.000398084
12 PPI_A.txt 0.00135711 0.000953826 0.000403282
13 PPI_A.txt 0.00129392 0.000967114 0.000326807
14 PPI_A.txt 0.00108594 0.000996616 8.9322e-05
15 PPI_A.txt 0.000997778 0.000950468 4.731e-05
TACC:  Shutdown complete. Exiting. 
