TACC:  Starting up job 10066088 
TACC:  Starting parallel tasks... 
0 Pubmed_feat_L2.txt 0.000153718 7.5083e-05 7.8635e-05
1 Pubmed_feat_L2.txt 0.000134965 6.215e-05 7.2815e-05
2 Pubmed_feat_L2.txt 0.000143187 7.0711e-05 7.2476e-05
3 Pubmed_feat_L2.txt 0.000130498 5.3869e-05 7.6629e-05
4 Pubmed_feat_L2.txt 0.000150403 7.3365e-05 7.7038e-05
5 Pubmed_feat_L2.txt 0.000137636 6.4623e-05 7.3013e-05
6 Pubmed_feat_L2.txt 0.000149283 7.2214e-05 7.7069e-05
7 Pubmed_feat_L2.txt 0.000134741 5.7933e-05 7.6808e-05
8 Pubmed_feat_L2.txt 0.00015236 7.5491e-05 7.6869e-05
9 Pubmed_feat_L2.txt 0.000139814 6.3086e-05 7.6728e-05
10 Pubmed_feat_L2.txt 0.000142034 7.0072e-05 7.1962e-05
11 Pubmed_feat_L2.txt 0.000127819 5.4281e-05 7.3538e-05
12 Pubmed_feat_L2.txt 0.000146437 7.304e-05 7.3397e-05
13 Pubmed_feat_L2.txt 0.000137887 6.4628e-05 7.3259e-05
14 Pubmed_feat_L2.txt 0.000145114 7.2086e-05 7.3028e-05
15 Pubmed_feat_L2.txt 0.000127516 5.4561e-05 7.2955e-05
0 Pubmed_A.txt 0.000243701 0.000225825 1.7876e-05
1 Pubmed_A.txt 0.000218367 0.000199791 1.8576e-05
2 Pubmed_A.txt 0.000265992 0.00024992 1.6072e-05
3 Pubmed_A.txt 0.000224276 0.000202349 2.1927e-05
4 Pubmed_A.txt 0.0002778 0.000256824 2.0976e-05
5 Pubmed_A.txt 0.000269224 0.000244568 2.4656e-05
6 Pubmed_A.txt 0.000242857 0.00021321 2.9647e-05
7 Pubmed_A.txt 0.000236422 0.000195664 4.0758e-05
8 Pubmed_A.txt 0.000323991 0.000271463 5.2528e-05
9 Pubmed_A.txt 0.000301509 0.000251349 5.016e-05
10 Pubmed_A.txt 0.000285108 0.000230265 5.4843e-05
11 Pubmed_A.txt 0.000242436 0.000204177 3.8259e-05
12 Pubmed_A.txt 0.000278273 0.000244394 3.3879e-05
13 Pubmed_A.txt 0.000304591 0.000249458 5.5133e-05
14 Pubmed_A.txt 0.000263066 0.000209848 5.3218e-05
15 Pubmed_A.txt 0.00032157 0.000242856 7.8714e-05
TACC:  Shutdown complete. Exiting. 
