TACC:  Starting up job 10066093 
TACC:  Starting parallel tasks... 
0 Citeseer_feat_L1.txt 0.000859196 0.000826158 3.3038e-05
1 Citeseer_feat_L1.txt 0.000715428 0.000685718 2.971e-05
2 Citeseer_feat_L1.txt 0.000780904 0.000750024 3.088e-05
3 Citeseer_feat_L1.txt 0.000789599 0.000756212 3.3387e-05
4 Citeseer_feat_L1.txt 0.000817018 0.000785843 3.1175e-05
5 Citeseer_feat_L1.txt 0.000720592 0.000691218 2.9374e-05
6 Citeseer_feat_L1.txt 0.000746039 0.000714703 3.1336e-05
7 Citeseer_feat_L1.txt 0.000744201 0.000714025 3.0176e-05
8 Citeseer_feat_L1.txt 0.000854745 0.000825416 2.9329e-05
9 Citeseer_feat_L1.txt 0.000713011 0.000681788 3.1223e-05
10 Citeseer_feat_L1.txt 0.000773192 0.000744517 2.8675e-05
11 Citeseer_feat_L1.txt 0.000790695 0.000762223 2.8472e-05
12 Citeseer_feat_L1.txt 0.000811853 0.000779872 3.1981e-05
13 Citeseer_feat_L1.txt 0.000704418 0.000674775 2.9643e-05
14 Citeseer_feat_L1.txt 0.000748329 0.00071911 2.9219e-05
15 Citeseer_feat_L1.txt 0.000740714 0.000708094 3.262e-05
16 Citeseer_feat_L1.txt 0.000851145 0.000823612 2.7533e-05
17 Citeseer_feat_L1.txt 0.000716327 0.000686748 2.9579e-05
18 Citeseer_feat_L1.txt 0.000773553 0.000741735 3.1818e-05
19 Citeseer_feat_L1.txt 0.000791583 0.000763211 2.8372e-05
20 Citeseer_feat_L1.txt 0.00123198 0.00120303 2.8941e-05
21 Citeseer_feat_L1.txt 0.000698235 0.000667541 3.0694e-05
22 Citeseer_feat_L1.txt 0.00075026 0.000719957 3.0303e-05
23 Citeseer_feat_L1.txt 0.000747617 0.000718096 2.9521e-05
24 Citeseer_feat_L1.txt 0.000845403 0.000815582 2.9821e-05
25 Citeseer_feat_L1.txt 0.000710537 0.000682392 2.8145e-05
26 Citeseer_feat_L1.txt 0.000770596 0.000743132 2.7464e-05
27 Citeseer_feat_L1.txt 0.000788244 0.000755874 3.237e-05
28 Citeseer_feat_L1.txt 0.00123245 0.00120106 3.1391e-05
29 Citeseer_feat_L1.txt 0.000696717 0.000667092 2.9625e-05
30 Citeseer_feat_L1.txt 0.00074417 0.00071298 3.119e-05
31 Citeseer_feat_L1.txt 0.000740888 0.000711476 2.9412e-05
32 Citeseer_feat_L1.txt 0.00121492 0.00118271 3.2207e-05
33 Citeseer_feat_L1.txt 0.000712628 0.000679241 3.3387e-05
34 Citeseer_feat_L1.txt 0.000774543 0.000743821 3.0722e-05
35 Citeseer_feat_L1.txt 0.000796584 0.00076641 3.0174e-05
36 Citeseer_feat_L1.txt 0.000815042 0.000784059 3.0983e-05
37 Citeseer_feat_L1.txt 0.00070332 0.000672328 3.0992e-05
38 Citeseer_feat_L1.txt 0.000750935 0.000720669 3.0266e-05
39 Citeseer_feat_L1.txt 0.000748484 0.000711038 3.7446e-05
40 Citeseer_feat_L1.txt 0.00120946 0.00118078 2.8687e-05
41 Citeseer_feat_L1.txt 0.000709152 0.000681162 2.799e-05
42 Citeseer_feat_L1.txt 0.000773088 0.000742236 3.0852e-05
43 Citeseer_feat_L1.txt 0.000792113 0.000761872 3.0241e-05
44 Citeseer_feat_L1.txt 0.000814619 0.000784835 2.9784e-05
45 Citeseer_feat_L1.txt 0.000699135 0.000666969 3.2166e-05
46 Citeseer_feat_L1.txt 0.000747671 0.000715988 3.1683e-05
47 Citeseer_feat_L1.txt 0.000746386 0.000716347 3.0039e-05
48 Citeseer_feat_L1.txt 0.00086387 0.000830265 3.3605e-05
49 Citeseer_feat_L1.txt 0.000713125 0.00068386 2.9265e-05
50 Citeseer_feat_L1.txt 0.000784409 0.000748701 3.5708e-05
51 Citeseer_feat_L1.txt 0.000790856 0.00075739 3.3466e-05
52 Citeseer_feat_L1.txt 0.000815324 0.000783636 3.1688e-05
53 Citeseer_feat_L1.txt 0.0007044 0.000673868 3.0532e-05
54 Citeseer_feat_L1.txt 0.000736732 0.000706056 3.0676e-05
55 Citeseer_feat_L1.txt 0.000742416 0.000710099 3.2317e-05
56 Citeseer_feat_L1.txt 0.000857501 0.000826224 3.1277e-05
57 Citeseer_feat_L1.txt 0.00071014 0.00067812 3.202e-05
58 Citeseer_feat_L1.txt 0.000772869 0.000742306 3.0563e-05
59 Citeseer_feat_L1.txt 0.000789334 0.000758572 3.0762e-05
60 Citeseer_feat_L1.txt 0.000813231 0.000781921 3.131e-05
61 Citeseer_feat_L1.txt 0.000704619 0.000672856 3.1763e-05
62 Citeseer_feat_L1.txt 0.000754868 0.000717811 3.7057e-05
63 Citeseer_feat_L1.txt 0.000744024 0.000711304 3.272e-05
64 Citeseer_feat_L1.txt 0.000787855 0.00075712 3.0735e-05
65 Citeseer_feat_L1.txt 0.000648031 0.000618977 2.9054e-05
66 Citeseer_feat_L1.txt 0.000708169 0.000674063 3.4106e-05
67 Citeseer_feat_L1.txt 0.000719021 0.000690411 2.861e-05
68 Citeseer_feat_L1.txt 0.000748873 0.000718779 3.0094e-05
69 Citeseer_feat_L1.txt 0.000620896 0.00058735 3.3546e-05
70 Citeseer_feat_L1.txt 0.000681529 0.000652428 2.9101e-05
71 Citeseer_feat_L1.txt 0.000683834 0.00064621 3.7624e-05
0 Citeseer_A.txt 0.000489141 0.000486395 2.746e-06
1 Citeseer_A.txt 0.000396609 0.000394111 2.498e-06
2 Citeseer_A.txt 0.000419478 0.000417243 2.235e-06
3 Citeseer_A.txt 0.000414054 0.000411913 2.141e-06
4 Citeseer_A.txt 0.00103981 0.00103748 2.332e-06
5 Citeseer_A.txt 0.000407305 0.000405412 1.893e-06
6 Citeseer_A.txt 0.000362825 0.00036073 2.095e-06
7 Citeseer_A.txt 0.000794658 0.000792352 2.306e-06
8 Citeseer_A.txt 0.000492522 0.000490736 1.786e-06
9 Citeseer_A.txt 0.000392239 0.000390046 2.193e-06
10 Citeseer_A.txt 0.000417993 0.000416 1.993e-06
11 Citeseer_A.txt 0.000414777 0.000412656 2.121e-06
12 Citeseer_A.txt 0.001027 0.0010249 2.094e-06
13 Citeseer_A.txt 0.000404222 0.000401605 2.617e-06
14 Citeseer_A.txt 0.000362334 0.000359899 2.435e-06
15 Citeseer_A.txt 0.000787754 0.000785513 2.241e-06
16 Citeseer_A.txt 0.000505122 0.00050229 2.832e-06
17 Citeseer_A.txt 0.000409461 0.000407718 1.743e-06
18 Citeseer_A.txt 0.000414582 0.000411435 3.147e-06
19 Citeseer_A.txt 0.000419211 0.000416276 2.935e-06
20 Citeseer_A.txt 0.00103394 0.00103192 2.019e-06
21 Citeseer_A.txt 0.000421098 0.000419085 2.013e-06
22 Citeseer_A.txt 0.000351098 0.000348905 2.193e-06
23 Citeseer_A.txt 0.000784537 0.000782437 2.1e-06
24 Citeseer_A.txt 0.000484536 0.000482527 2.009e-06
25 Citeseer_A.txt 0.000394785 0.000392377 2.408e-06
26 Citeseer_A.txt 0.000413744 0.00041087 2.874e-06
27 Citeseer_A.txt 0.000412445 0.000410097 2.348e-06
28 Citeseer_A.txt 0.00103307 0.00102994 3.125e-06
29 Citeseer_A.txt 0.000407348 0.000403705 3.643e-06
30 Citeseer_A.txt 0.000353574 0.00035074 2.834e-06
31 Citeseer_A.txt 0.00079267 0.000789383 3.287e-06
32 Citeseer_A.txt 0.000495134 0.000491321 3.813e-06
33 Citeseer_A.txt 0.00039279 0.000389433 3.357e-06
34 Citeseer_A.txt 0.000426532 0.000422451 4.081e-06
35 Citeseer_A.txt 0.000427486 0.000424753 2.733e-06
36 Citeseer_A.txt 0.000881709 0.000877725 3.984e-06
37 Citeseer_A.txt 0.000404605 0.000401496 3.109e-06
38 Citeseer_A.txt 0.000392761 0.000389802 2.959e-06
39 Citeseer_A.txt 0.000827981 0.000824701 3.28e-06
40 Citeseer_A.txt 0.000492994 0.000489455 3.539e-06
41 Citeseer_A.txt 0.00039712 0.000392342 4.778e-06
42 Citeseer_A.txt 0.000419706 0.00041633 3.376e-06
43 Citeseer_A.txt 0.000423986 0.000420066 3.92e-06
44 Citeseer_A.txt 0.000881788 0.000878761 3.027e-06
45 Citeseer_A.txt 0.000395035 0.000389638 5.397e-06
46 Citeseer_A.txt 0.00038456 0.000380247 4.313e-06
47 Citeseer_A.txt 0.000824055 0.000819487 4.568e-06
48 Citeseer_A.txt 0.000484269 0.000480432 3.837e-06
49 Citeseer_A.txt 0.000393972 0.000389994 3.978e-06
50 Citeseer_A.txt 0.000427134 0.000420887 6.247e-06
51 Citeseer_A.txt 0.000425516 0.000416736 8.78e-06
52 Citeseer_A.txt 0.000886295 0.000882245 4.05e-06
53 Citeseer_A.txt 0.000405518 0.00040233 3.188e-06
54 Citeseer_A.txt 0.000343975 0.00033796 6.015e-06
55 Citeseer_A.txt 0.000832577 0.000827765 4.812e-06
56 Citeseer_A.txt 0.000494611 0.00048803 6.581e-06
57 Citeseer_A.txt 0.00039235 0.000387389 4.961e-06
58 Citeseer_A.txt 0.00042701 0.000421961 5.049e-06
59 Citeseer_A.txt 0.000424698 0.000419206 5.492e-06
60 Citeseer_A.txt 0.000880783 0.000875469 5.314e-06
61 Citeseer_A.txt 0.000408412 0.000402411 6.001e-06
62 Citeseer_A.txt 0.000344397 0.000340499 3.898e-06
63 Citeseer_A.txt 0.000821848 0.000817677 4.171e-06
64 Citeseer_A.txt 0.000458434 0.00045458 3.854e-06
65 Citeseer_A.txt 0.000363957 0.000360111 3.846e-06
66 Citeseer_A.txt 0.000370107 0.000364528 5.579e-06
67 Citeseer_A.txt 0.000377317 0.000373573 3.744e-06
68 Citeseer_A.txt 0.0004299 0.000425815 4.085e-06
69 Citeseer_A.txt 0.000355291 0.000350877 4.414e-06
70 Citeseer_A.txt 0.000303963 0.000299825 4.138e-06
71 Citeseer_A.txt 0.000751229 0.000745614 5.615e-06
TACC:  Shutdown complete. Exiting. 
