TACC:  Starting up job 10066060 
TACC:  Starting parallel tasks... 
0 Cora_feat_L1.txt 0.000897603 0.000889842 7.761e-06
1 Cora_feat_L1.txt 0.000957709 0.000951583 6.126e-06
2 Cora_feat_L1.txt 0.00159179 0.00158321 8.583e-06
3 Cora_feat_L1.txt 0.000885393 0.00087785 7.543e-06
4 Cora_feat_L1.txt 0.000985004 0.000978554 6.45e-06
5 Cora_feat_L1.txt 0.00100561 0.000998091 7.523e-06
6 Cora_feat_L1.txt 0.00158241 0.0015743 8.109e-06
7 Cora_feat_L1.txt 0.000976997 0.000967872 9.125e-06
8 Cora_feat_L1.txt 0.00157104 0.00156371 7.325e-06
9 Cora_feat_L1.txt 0.000916817 0.000909202 7.615e-06
10 Cora_feat_L1.txt 0.0011329 0.00112535 7.547e-06
11 Cora_feat_L1.txt 0.000963244 0.000955968 7.276e-06
12 Cora_feat_L1.txt 0.00101882 0.0010107 8.119e-06
13 Cora_feat_L1.txt 0.00100427 0.000995705 8.563e-06
14 Cora_feat_L1.txt 0.00156522 0.00155572 9.507e-06
15 Cora_feat_L1.txt 0.000952957 0.000945996 6.961e-06
16 Cora_feat_L1.txt 0.000887849 0.000880904 6.945e-06
17 Cora_feat_L1.txt 0.000927074 0.000919243 7.831e-06
18 Cora_feat_L1.txt 0.00144993 0.00144173 8.199e-06
19 Cora_feat_L1.txt 0.000872103 0.00086345 8.653e-06
20 Cora_feat_L1.txt 0.000976013 0.000969116 6.897e-06
21 Cora_feat_L1.txt 0.00100148 0.000993101 8.383e-06
22 Cora_feat_L1.txt 0.00142919 0.00142082 8.37e-06
23 Cora_feat_L1.txt 0.0009175 0.000909782 7.718e-06
24 Cora_feat_L1.txt 0.00157013 0.00156273 7.398e-06
25 Cora_feat_L1.txt 0.000943068 0.000917787 2.5281e-05
26 Cora_feat_L1.txt 0.00109765 0.00108909 8.563e-06
27 Cora_feat_L1.txt 0.00097887 0.000971473 7.397e-06
28 Cora_feat_L1.txt 0.00101768 0.00101055 7.136e-06
29 Cora_feat_L1.txt 0.00101251 0.00100456 7.946e-06
30 Cora_feat_L1.txt 0.00144652 0.00143697 9.555e-06
31 Cora_feat_L1.txt 0.000950406 0.000941758 8.648e-06
32 Cora_feat_L1.txt 0.000872008 0.000862974 9.034e-06
33 Cora_feat_L1.txt 0.000957536 0.000951022 6.514e-06
34 Cora_feat_L1.txt 0.00105612 0.00104898 7.137e-06
35 Cora_feat_L1.txt 0.000851255 0.000843602 7.653e-06
36 Cora_feat_L1.txt 0.000959762 0.000951859 7.903e-06
37 Cora_feat_L1.txt 0.000997246 0.000989667 7.579e-06
38 Cora_feat_L1.txt 0.00158495 0.00157684 8.115e-06
39 Cora_feat_L1.txt 0.00094887 0.000940995 7.875e-06
40 Cora_feat_L1.txt 0.0014477 0.00143933 8.369e-06
41 Cora_feat_L1.txt 0.000923914 0.000916286 7.628e-06
42 Cora_feat_L1.txt 0.00109025 0.0010816 8.65e-06
43 Cora_feat_L1.txt 0.000988867 0.000980287 8.58e-06
44 Cora_feat_L1.txt 0.00110572 0.0010963 9.419e-06
45 Cora_feat_L1.txt 0.00108942 0.0010821 7.319e-06
46 Cora_feat_L1.txt 0.00109726 0.00109124 6.026e-06
47 Cora_feat_L1.txt 0.00100495 0.000997186 7.764e-06
48 Cora_feat_L1.txt 0.000881375 0.000872557 8.818e-06
49 Cora_feat_L1.txt 0.000933703 0.000925405 8.298e-06
50 Cora_feat_L1.txt 0.00107988 0.00107169 8.19e-06
51 Cora_feat_L1.txt 0.000871962 0.000864003 7.959e-06
52 Cora_feat_L1.txt 0.000979905 0.000972585 7.32e-06
53 Cora_feat_L1.txt 0.00100109 0.000993758 7.332e-06
54 Cora_feat_L1.txt 0.00145407 0.00143183 2.2235e-05
55 Cora_feat_L1.txt 0.000913393 0.000906603 6.79e-06
56 Cora_feat_L1.txt 0.00145209 0.00143043 2.1666e-05
57 Cora_feat_L1.txt 0.000920362 0.000912695 7.667e-06
58 Cora_feat_L1.txt 0.00108063 0.00107358 7.052e-06
59 Cora_feat_L1.txt 0.000977779 0.000969911 7.868e-06
60 Cora_feat_L1.txt 0.00101796 0.00100966 8.292e-06
61 Cora_feat_L1.txt 0.0010102 0.00100057 9.635e-06
62 Cora_feat_L1.txt 0.00103656 0.0010282 8.366e-06
63 Cora_feat_L1.txt 0.000952125 0.000943769 8.356e-06
64 Cora_feat_L1.txt 0.000931552 0.000924118 7.434e-06
65 Cora_feat_L1.txt 0.000942717 0.00093516 7.557e-06
66 Cora_feat_L1.txt 0.00109195 0.00108349 8.454e-06
67 Cora_feat_L1.txt 0.000856322 0.000848177 8.145e-06
68 Cora_feat_L1.txt 0.00096833 0.00096007 8.26e-06
69 Cora_feat_L1.txt 0.00103823 0.00102975 8.483e-06
70 Cora_feat_L1.txt 0.00138016 0.00137323 6.925e-06
