TACC:  Starting up job 10066078 
TACC:  Starting parallel tasks... 
0 Pubmed_feat_L2.txt 0.000214808 0.000117721 9.7087e-05
1 Pubmed_feat_L2.txt 0.000208318 0.000111601 9.6717e-05
2 Pubmed_feat_L2.txt 0.000210564 0.000114017 9.6547e-05
3 Pubmed_feat_L2.txt 0.000206324 0.000109486 9.6838e-05
4 Pubmed_feat_L2.txt 0.000210197 0.000112945 9.7252e-05
5 Pubmed_feat_L2.txt 0.000207748 0.000110612 9.7136e-05
6 Pubmed_feat_L2.txt 0.000218051 0.000116197 0.000101854
7 Pubmed_feat_L2.txt 0.000209411 0.000107164 0.000102247
8 Pubmed_feat_L2.txt 0.000208033 0.000106398 0.000101635
9 Pubmed_feat_L2.txt 0.000210439 0.00011318 9.7259e-05
10 Pubmed_feat_L2.txt 0.000206313 0.000109309 9.7004e-05
11 Pubmed_feat_L2.txt 0.000197664 0.000100725 9.6939e-05
0 Pubmed_A.txt 0.000422149 0.000398952 2.3197e-05
1 Pubmed_A.txt 0.00041631 0.000394663 2.1647e-05
2 Pubmed_A.txt 0.000425085 0.00040091 2.4175e-05
3 Pubmed_A.txt 0.000429571 0.000400193 2.9378e-05
4 Pubmed_A.txt 0.000428395 0.000398896 2.9499e-05
5 Pubmed_A.txt 0.000442752 0.000392643 5.0109e-05
6 Pubmed_A.txt 0.000462967 0.000392365 7.0602e-05
7 Pubmed_A.txt 0.000467009 0.000403896 6.3113e-05
8 Pubmed_A.txt 0.00037651 0.000321501 5.5009e-05
9 Pubmed_A.txt 0.000373226 0.000312254 6.0972e-05
10 Pubmed_A.txt 0.000450437 0.000371884 7.8553e-05
11 Pubmed_A.txt 0.000456399 0.000371101 8.5298e-05
TACC:  Shutdown complete. Exiting. 
