TACC:  Starting up job 10024557 
TACC:  Starting parallel tasks... 
0 Citeseer_feat_L1.txt 0.00164738 0.00161437 3.3009e-05
1 Citeseer_feat_L1.txt 0.00166455 0.001637 2.755e-05
2 Citeseer_feat_L1.txt 0.00165146 0.00162112 3.0337e-05
3 Citeseer_feat_L1.txt 0.00164919 0.00162123 2.7954e-05
4 Citeseer_feat_L1.txt 0.00166369 0.00163529 2.8406e-05
5 Citeseer_feat_L1.txt 0.00170931 0.001682 2.7305e-05
6 Citeseer_feat_L1.txt 0.0016647 0.00163037 3.4327e-05
7 Citeseer_feat_L1.txt 0.00169119 0.00166539 2.5805e-05
8 Citeseer_feat_L1.txt 0.00169309 0.00166567 2.7421e-05
9 Citeseer_feat_L1.txt 0.00168155 0.00165496 2.6586e-05
10 Citeseer_feat_L1.txt 0.00169136 0.00166269 2.8672e-05
11 Citeseer_feat_L1.txt 0.00170112 0.00167343 2.7688e-05
12 Citeseer_feat_L1.txt 0.00165221 0.00162522 2.6989e-05
13 Citeseer_feat_L1.txt 0.0016595 0.00163357 2.5935e-05
14 Citeseer_feat_L1.txt 0.00171634 0.00168673 2.9607e-05
15 Citeseer_feat_L1.txt 0.00169065 0.00166344 2.7204e-05
16 Citeseer_feat_L1.txt 0.00173303 0.00170689 2.6143e-05
17 Citeseer_feat_L1.txt 0.00183889 0.00181066 2.8233e-05
18 Citeseer_feat_L1.txt 0.00218576 0.00214457 4.1191e-05
19 Citeseer_feat_L1.txt 0.0017781 0.0017514 2.6703e-05
20 Citeseer_feat_L1.txt 0.00218399 0.00215521 2.8781e-05
21 Citeseer_feat_L1.txt 0.00177194 0.00174456 2.7381e-05
22 Citeseer_feat_L1.txt 0.00220008 0.00215457 4.5512e-05
23 Citeseer_feat_L1.txt 0.00173564 0.00170849 2.7157e-05
24 Citeseer_feat_L1.txt 0.00168364 0.00165586 2.778e-05
25 Citeseer_feat_L1.txt 0.00170899 0.00168352 2.5469e-05
26 Citeseer_feat_L1.txt 0.00168509 0.00165733 2.7763e-05
27 Citeseer_feat_L1.txt 0.00169328 0.00166604 2.7243e-05
28 Citeseer_feat_L1.txt 0.00172958 0.00170395 2.5634e-05
29 Citeseer_feat_L1.txt 0.0017203 0.00169096 2.9343e-05
30 Citeseer_feat_L1.txt 0.00173328 0.00170465 2.8636e-05
31 Citeseer_feat_L1.txt 0.00170851 0.00168032 2.8197e-05
32 Citeseer_feat_L1.txt 0.00158719 0.0015605 2.6693e-05
33 Citeseer_feat_L1.txt 0.00152667 0.00150136 2.5307e-05
34 Citeseer_feat_L1.txt 0.00155507 0.00152805 2.7011e-05
35 Citeseer_feat_L1.txt 0.00163124 0.00160545 2.579e-05
36 Citeseer_feat_L1.txt 0.00160763 0.00157995 2.7677e-05
37 Citeseer_feat_L1.txt 0.00161025 0.00157873 3.152e-05
38 Citeseer_feat_L1.txt 0.0016124 0.00158292 2.9474e-05
39 Citeseer_feat_L1.txt 0.00157813 0.00154929 2.8839e-05
40 Citeseer_feat_L1.txt 0.00160339 0.00157616 2.7236e-05
41 Citeseer_feat_L1.txt 0.00162824 0.0016016 2.6645e-05
42 Citeseer_feat_L1.txt 0.00155184 0.00152304 2.8806e-05
43 Citeseer_feat_L1.txt 0.00155279 0.00152341 2.9385e-05
44 Citeseer_feat_L1.txt 0.00155565 0.00152614 2.9516e-05
45 Citeseer_feat_L1.txt 0.00159792 0.00156963 2.8291e-05
46 Citeseer_feat_L1.txt 0.00163852 0.00160968 2.8842e-05
47 Citeseer_feat_L1.txt 0.00159414 0.0015665 2.7646e-05
48 Citeseer_feat_L1.txt 0.00168311 0.00165243 3.0681e-05
49 Citeseer_feat_L1.txt 0.00171612 0.00168847 2.7657e-05
50 Citeseer_feat_L1.txt 0.00167881 0.00165128 2.753e-05
51 Citeseer_feat_L1.txt 0.00171122 0.00168223 2.8992e-05
52 Citeseer_feat_L1.txt 0.00166219 0.00163542 2.677e-05
53 Citeseer_feat_L1.txt 0.0016004 0.00157392 2.6485e-05
54 Citeseer_feat_L1.txt 0.00166742 0.00163807 2.9352e-05
55 Citeseer_feat_L1.txt 0.00175846 0.00173115 2.7308e-05
56 Citeseer_feat_L1.txt 0.00165695 0.00162656 3.0389e-05
57 Citeseer_feat_L1.txt 0.00169144 0.00166504 2.6396e-05
58 Citeseer_feat_L1.txt 0.00176056 0.00173184 2.8723e-05
59 Citeseer_feat_L1.txt 0.0015966 0.00156885 2.7748e-05
60 Citeseer_feat_L1.txt 0.00161228 0.00158074 3.1538e-05
61 Citeseer_feat_L1.txt 0.00174511 0.00171627 2.884e-05
62 Citeseer_feat_L1.txt 0.00168794 0.00165863 2.9313e-05
63 Citeseer_feat_L1.txt 0.00163818 0.0016103 2.7878e-05
64 Citeseer_feat_L1.txt 0.00170064 0.0016724 2.8234e-05
65 Citeseer_feat_L1.txt 0.00177229 0.00174039 3.1899e-05
66 Citeseer_feat_L1.txt 0.00172107 0.0016918 2.9279e-05
67 Citeseer_feat_L1.txt 0.00167172 0.00164304 2.8681e-05
68 Citeseer_feat_L1.txt 0.00182035 0.00179138 2.8967e-05
69 Citeseer_feat_L1.txt 0.00175201 0.00172348 2.8532e-05
70 Citeseer_feat_L1.txt 0.00173643 0.00170746 2.8972e-05
71 Citeseer_feat_L1.txt 0.00181747 0.00178912 2.8356e-05
72 Citeseer_feat_L1.txt 0.00168293 0.00165461 2.8325e-05
73 Citeseer_feat_L1.txt 0.00166666 0.00164053 2.6134e-05
74 Citeseer_feat_L1.txt 0.00168678 0.00165796 2.8824e-05
75 Citeseer_feat_L1.txt 0.00164414 0.00161477 2.9371e-05
76 Citeseer_feat_L1.txt 0.00166428 0.00163576 2.8521e-05
77 Citeseer_feat_L1.txt 0.00163381 0.00160702 2.6787e-05
78 Citeseer_feat_L1.txt 0.00164201 0.001614 2.8012e-05
79 Citeseer_feat_L1.txt 0.0016618 0.00163442 2.7378e-05
80 Citeseer_feat_L1.txt 0.00158119 0.00155273 2.8463e-05
81 Citeseer_feat_L1.txt 0.00149962 0.00147351 2.6114e-05
82 Citeseer_feat_L1.txt 0.00153107 0.00150217 2.8892e-05
83 Citeseer_feat_L1.txt 0.00148473 0.00145694 2.7788e-05
84 Citeseer_feat_L1.txt 0.00148596 0.00145721 2.8751e-05
85 Citeseer_feat_L1.txt 0.00152463 0.00149575 2.8886e-05
86 Citeseer_feat_L1.txt 0.00149474 0.00146101 3.373e-05
87 Citeseer_feat_L1.txt 0.00161973 0.0015916 2.8131e-05
