TACC:  Starting up job 10024557 
TACC:  Starting parallel tasks... 
0 Pubmed_feat_L1.txt 0.001538 0.0013177 0.000220297
1 Pubmed_feat_L1.txt 0.00142915 0.00121415 0.000214995
2 Pubmed_feat_L1.txt 0.00141238 0.00117951 0.000232874
3 Pubmed_feat_L1.txt 0.00159512 0.00134781 0.000247312
4 Pubmed_feat_L1.txt 0.00136191 0.00113957 0.000222339
5 Pubmed_feat_L1.txt 0.00153462 0.00130737 0.000227245
6 Pubmed_feat_L1.txt 0.00157605 0.00133913 0.000236918
7 Pubmed_feat_L1.txt 0.0017187 0.00146434 0.000254364
8 Pubmed_feat_L1.txt 0.00148593 0.00126225 0.00022368
9 Pubmed_feat_L1.txt 0.00163646 0.00138986 0.000246603
10 Pubmed_feat_L1.txt 0.00151974 0.00129394 0.000225802
11 Pubmed_feat_L1.txt 0.00161404 0.00135867 0.000255373
12 Pubmed_feat_L1.txt 0.00148161 0.00126437 0.000217242
13 Pubmed_feat_L1.txt 0.00160227 0.0013439 0.00025837
14 Pubmed_feat_L1.txt 0.00161637 0.00136011 0.00025626
15 Pubmed_feat_L1.txt 0.00161667 0.00136713 0.000249543
16 Pubmed_feat_L1.txt 0.00161448 0.0013481 0.000266374
17 Pubmed_feat_L1.txt 0.00160769 0.00134695 0.000260739
18 Pubmed_feat_L1.txt 0.00147768 0.00123993 0.000237749
19 Pubmed_feat_L1.txt 0.00166926 0.0014333 0.000235957
20 Pubmed_feat_L1.txt 0.00163058 0.00139608 0.000234494
21 Pubmed_feat_L1.txt 0.00161233 0.00138028 0.000232044
22 Pubmed_feat_L1.txt 0.00144821 0.00121429 0.000233919
23 Pubmed_feat_L1.txt 0.00151697 0.0012487 0.000268271
24 Pubmed_feat_L1.txt 0.00149058 0.00123747 0.000253108
25 Pubmed_feat_L1.txt 0.00160762 0.00133293 0.000274683
26 Pubmed_feat_L1.txt 0.00171654 0.00145813 0.000258411
27 Pubmed_feat_L1.txt 0.00159047 0.00129642 0.000294053
28 Pubmed_feat_L1.txt 0.0015183 0.00126824 0.000250067
29 Pubmed_feat_L1.txt 0.0015599 0.0012963 0.000263597
30 Pubmed_feat_L1.txt 0.00163779 0.00137187 0.000265923
31 Pubmed_feat_L1.txt 0.00152064 0.00126933 0.000251317
32 Pubmed_feat_L1.txt 0.00143467 0.00115529 0.000279379
33 Pubmed_feat_L1.txt 0.00143875 0.00116965 0.0002691
34 Pubmed_feat_L1.txt 0.00152232 0.00125351 0.000268814
35 Pubmed_feat_L1.txt 0.00152719 0.00128654 0.000240652
36 Pubmed_feat_L1.txt 0.00154791 0.00131389 0.000234019
37 Pubmed_feat_L1.txt 0.00157551 0.00133723 0.000238282
38 Pubmed_feat_L1.txt 0.00142738 0.00119912 0.000228258
39 Pubmed_feat_L1.txt 0.00162234 0.00134714 0.0002752
40 Pubmed_feat_L1.txt 0.00149122 0.00117438 0.000316841
41 Pubmed_feat_L1.txt 0.00154487 0.00129086 0.00025401
42 Pubmed_feat_L1.txt 0.00168297 0.00142369 0.00025928
43 Pubmed_feat_L1.txt 0.00160996 0.00136175 0.000248201
44 Pubmed_feat_L1.txt 0.0015677 0.00128514 0.000282568
45 Pubmed_feat_L1.txt 0.00171421 0.00145735 0.000256863
46 Pubmed_feat_L1.txt 0.00163345 0.0013753 0.000258157
47 Pubmed_feat_L1.txt 0.00165503 0.0013988 0.000256224
48 Pubmed_feat_L1.txt 0.00151294 0.00126714 0.0002458
49 Pubmed_feat_L1.txt 0.00149858 0.00124534 0.000253235
50 Pubmed_feat_L1.txt 0.00150112 0.00125024 0.000250875
51 Pubmed_feat_L1.txt 0.0015862 0.00132714 0.000259059
52 Pubmed_feat_L1.txt 0.00154935 0.00131504 0.000234315
53 Pubmed_feat_L1.txt 0.00154336 0.00131043 0.000232929
