TACC:  Starting up job 10066086 
TACC:  Starting parallel tasks... 
0 Citeseer_feat_L2.txt 0.00018086 0.000173604 7.256e-06
1 Citeseer_feat_L2.txt 0.000148833 0.000141902 6.931e-06
2 Citeseer_feat_L2.txt 0.000182367 0.000175268 7.099e-06
3 Citeseer_feat_L2.txt 0.000142568 0.000135533 7.035e-06
4 Citeseer_feat_L2.txt 0.000178677 0.000172002 6.675e-06
5 Citeseer_feat_L2.txt 0.000145648 0.000138731 6.917e-06
6 Citeseer_feat_L2.txt 0.000188746 0.000181546 7.2e-06
7 Citeseer_feat_L2.txt 0.000151953 0.000145278 6.675e-06
8 Citeseer_feat_L2.txt 0.00018515 0.000178371 6.779e-06
9 Citeseer_feat_L2.txt 0.000148044 0.000141152 6.892e-06
10 Citeseer_feat_L2.txt 0.000198016 0.000191218 6.798e-06
11 Citeseer_feat_L2.txt 0.000148043 0.000141106 6.937e-06
12 Citeseer_feat_L2.txt 0.000182568 0.000175233 7.335e-06
13 Citeseer_feat_L2.txt 0.000149971 0.000143241 6.73e-06
14 Citeseer_feat_L2.txt 0.000182827 0.000176138 6.689e-06
15 Citeseer_feat_L2.txt 0.000138756 0.00013159 7.166e-06
16 Citeseer_feat_L2.txt 0.000173373 0.000166588 6.785e-06
17 Citeseer_feat_L2.txt 0.000144 0.000136995 7.005e-06
18 Citeseer_feat_L2.txt 0.000181114 0.000174181 6.933e-06
19 Citeseer_feat_L2.txt 0.00013885 0.000132196 6.654e-06
20 Citeseer_feat_L2.txt 0.000176877 0.000169933 6.944e-06
21 Citeseer_feat_L2.txt 0.000150116 0.000143106 7.01e-06
22 Citeseer_feat_L2.txt 0.000182443 0.000175768 6.675e-06
23 Citeseer_feat_L2.txt 0.000151495 0.000144569 6.926e-06
24 Citeseer_feat_L2.txt 0.000183638 0.00017673 6.908e-06
25 Citeseer_feat_L2.txt 0.000141323 0.000134569 6.754e-06
26 Citeseer_feat_L2.txt 0.000191919 0.000185055 6.864e-06
27 Citeseer_feat_L2.txt 0.000138392 0.000130983 7.409e-06
28 Citeseer_feat_L2.txt 0.000177381 0.000170773 6.608e-06
29 Citeseer_feat_L2.txt 0.000139704 0.000132715 6.989e-06
30 Citeseer_feat_L2.txt 0.000183665 0.000176967 6.698e-06
31 Citeseer_feat_L2.txt 0.000144129 0.000137084 7.045e-06
32 Citeseer_feat_L2.txt 0.000176287 0.000169053 7.234e-06
33 Citeseer_feat_L2.txt 0.000146991 0.000139875 7.116e-06
34 Citeseer_feat_L2.txt 0.000185003 0.000177842 7.161e-06
35 Citeseer_feat_L2.txt 0.000141852 0.000134928 6.924e-06
36 Citeseer_feat_L2.txt 0.000187469 0.000180301 7.168e-06
37 Citeseer_feat_L2.txt 0.000154557 0.000147858 6.699e-06
38 Citeseer_feat_L2.txt 0.000184158 0.000177184 6.974e-06
39 Citeseer_feat_L2.txt 0.000138934 0.000131653 7.281e-06
40 Citeseer_feat_L2.txt 0.000175487 0.000168434 7.053e-06
41 Citeseer_feat_L2.txt 0.000133494 0.000126562 6.932e-06
42 Citeseer_feat_L2.txt 0.0001909 0.000184095 6.805e-06
43 Citeseer_feat_L2.txt 0.000148906 0.00014172 7.186e-06
44 Citeseer_feat_L2.txt 0.000185645 0.000178601 7.044e-06
45 Citeseer_feat_L2.txt 0.000149541 0.000142449 7.092e-06
46 Citeseer_feat_L2.txt 0.000186106 0.00017907 7.036e-06
47 Citeseer_feat_L2.txt 0.000148501 0.00014013 8.371e-06
0 Citeseer_A.txt 0.000203143 0.000200959 2.184e-06
1 Citeseer_A.txt 0.000197663 0.000195775 1.888e-06
2 Citeseer_A.txt 0.000202097 0.000200632 1.465e-06
3 Citeseer_A.txt 0.000252786 0.000251161 1.625e-06
4 Citeseer_A.txt 0.000274692 0.000273219 1.473e-06
5 Citeseer_A.txt 0.000255023 0.000253527 1.496e-06
6 Citeseer_A.txt 0.0002671 0.000265394 1.706e-06
7 Citeseer_A.txt 0.000278649 0.000277207 1.442e-06
8 Citeseer_A.txt 0.000277808 0.000276238 1.57e-06
9 Citeseer_A.txt 0.000238486 0.000236486 2e-06
10 Citeseer_A.txt 0.000254381 0.000252436 1.945e-06
11 Citeseer_A.txt 0.000254667 0.000253149 1.518e-06
12 Citeseer_A.txt 0.000278225 0.000275839 2.386e-06
13 Citeseer_A.txt 0.000263392 0.000261837 1.555e-06
14 Citeseer_A.txt 0.000254772 0.000253365 1.407e-06
15 Citeseer_A.txt 0.000214623 0.000212898 1.725e-06
16 Citeseer_A.txt 0.000200433 0.000198901 1.532e-06
17 Citeseer_A.txt 0.000196 0.000193899 2.101e-06
18 Citeseer_A.txt 0.000201717 0.000199837 1.88e-06
19 Citeseer_A.txt 0.000251542 0.00024875 2.792e-06
20 Citeseer_A.txt 0.000272838 0.00027073 2.108e-06
21 Citeseer_A.txt 0.000253052 0.000250046 3.006e-06
22 Citeseer_A.txt 0.00026478 0.00026211 2.67e-06
23 Citeseer_A.txt 0.000276508 0.000273812 2.696e-06
24 Citeseer_A.txt 0.000279104 0.00027635 2.754e-06
25 Citeseer_A.txt 0.000238623 0.000236145 2.478e-06
26 Citeseer_A.txt 0.000252459 0.000250056 2.403e-06
27 Citeseer_A.txt 0.00025559 0.000252193 3.397e-06
28 Citeseer_A.txt 0.000275538 0.000272851 2.687e-06
29 Citeseer_A.txt 0.000262144 0.000259685 2.459e-06
