TACC:  Starting up job 10066049 
TACC:  Starting parallel tasks... 
0 Cora_feat_L2.txt 0.000696004 0.000691787 4.217e-06
1 Cora_feat_L2.txt 0.000592475 0.000588424 4.051e-06
2 Cora_feat_L2.txt 0.00105312 0.00104898 4.144e-06
3 Cora_feat_L2.txt 0.000599025 0.000594886 4.139e-06
4 Cora_feat_L2.txt 0.000688863 0.000684733 4.13e-06
5 Cora_feat_L2.txt 0.00059245 0.000588507 3.943e-06
6 Cora_feat_L2.txt 0.00066625 0.000662122 4.128e-06
7 Cora_feat_L2.txt 0.000602756 0.000598425 4.331e-06
8 Cora_feat_L2.txt 0.000708819 0.000704479 4.34e-06
9 Cora_feat_L2.txt 0.000592507 0.000588387 4.12e-06
10 Cora_feat_L2.txt 0.000665326 0.000661075 4.251e-06
11 Cora_feat_L2.txt 0.000600549 0.000596562 3.987e-06
12 Cora_feat_L2.txt 0.00103787 0.00103375 4.121e-06
13 Cora_feat_L2.txt 0.000587213 0.000583026 4.187e-06
14 Cora_feat_L2.txt 0.000648049 0.000644106 3.943e-06
15 Cora_feat_L2.txt 0.000589409 0.000585229 4.18e-06
16 Cora_feat_L2.txt 0.000700414 0.000696252 4.162e-06
17 Cora_feat_L2.txt 0.000589041 0.000585019 4.022e-06
18 Cora_feat_L2.txt 0.00113597 0.00113162 4.355e-06
19 Cora_feat_L2.txt 0.00059294 0.000588954 3.986e-06
20 Cora_feat_L2.txt 0.00106433 0.00106024 4.092e-06
21 Cora_feat_L2.txt 0.000588631 0.0005846 4.031e-06
22 Cora_feat_L2.txt 0.00067008 0.000665948 4.132e-06
23 Cora_feat_L2.txt 0.000591403 0.000587266 4.137e-06
24 Cora_feat_L2.txt 0.00103477 0.00103044 4.333e-06
25 Cora_feat_L2.txt 0.000590271 0.000586007 4.264e-06
26 Cora_feat_L2.txt 0.000658139 0.000653948 4.191e-06
27 Cora_feat_L2.txt 0.000588033 0.000583826 4.207e-06
28 Cora_feat_L2.txt 0.00105342 0.00104894 4.476e-06
29 Cora_feat_L2.txt 0.000593494 0.000589457 4.037e-06
30 Cora_feat_L2.txt 0.000666142 0.000661969 4.173e-06
31 Cora_feat_L2.txt 0.000602577 0.000598317 4.26e-06
32 Cora_feat_L2.txt 0.00070829 0.000704089 4.201e-06
