TACC:  Starting up job 10364762 
TACC:  Starting parallel tasks... 
0 PPI_feat_L1.txt 7.1745e-05 7.0754e-05 9.91e-07
1 PPI_feat_L1.txt 7.1422e-05 6.6669e-05 4.753e-06
2 PPI_feat_L1.txt 6.6753e-05 6.1531e-05 5.222e-06
3 PPI_feat_L1.txt 6.6592e-05 6.1626e-05 4.966e-06
4 PPI_feat_L1.txt 7.5283e-05 7.0664e-05 4.619e-06
5 PPI_feat_L1.txt 7.0819e-05 6.5818e-05 5.001e-06
6 PPI_feat_L1.txt 6.6576e-05 6.1798e-05 4.778e-06
7 PPI_feat_L1.txt 6.6672e-05 6.2023e-05 4.649e-06
8 PPI_feat_L1.txt 8.405e-05 7.0021e-05 1.4029e-05
9 PPI_feat_L1.txt 6.9746e-05 6.51e-05 4.646e-06
10 PPI_feat_L1.txt 6.5058e-05 5.9887e-05 5.171e-06
11 PPI_feat_L1.txt 6.4168e-05 5.9645e-05 4.523e-06
12 PPI_feat_L1.txt 7.4338e-05 6.961e-05 4.728e-06
13 PPI_feat_L1.txt 6.9286e-05 6.4644e-05 4.642e-06
14 PPI_feat_L1.txt 6.6518e-05 6.1968e-05 4.55e-06
15 PPI_feat_L1.txt 6.5797e-05 6.1125e-05 4.672e-06
0 PPI_A.txt 0.000186344 0.000132042 5.4302e-05
1 PPI_A.txt 0.000243595 0.000199409 4.4186e-05
2 PPI_A.txt 0.000176215 0.00011244 6.3775e-05
3 PPI_A.txt 0.000255072 0.000200959 5.4113e-05
4 PPI_A.txt 0.000166294 0.000113771 5.2523e-05
5 PPI_A.txt 0.000263524 0.000200831 6.2693e-05
6 PPI_A.txt 0.000160246 0.000118774 4.1472e-05
7 PPI_A.txt 0.00024568 0.00019624 4.944e-05
8 PPI_A.txt 0.000186311 0.000134948 5.1363e-05
9 PPI_A.txt 0.000259837 0.000201236 5.8601e-05
10 PPI_A.txt 0.000164026 0.000113297 5.0729e-05
11 PPI_A.txt 0.000260327 0.000200873 5.9454e-05
12 PPI_A.txt 0.000163275 0.00011244 5.0835e-05
13 PPI_A.txt 0.000242682 0.000200571 4.2111e-05
14 PPI_A.txt 0.000127346 0.000117719 9.627e-06
15 PPI_A.txt 0.000198969 0.000195733 3.236e-06
TACC:  Shutdown complete. Exiting. 
