TACC:  Starting up job 10066088 
TACC:  Starting parallel tasks... 
0 Pubmed_feat_L1.txt 0.00123489 0.000101457 0.00113344
1 Pubmed_feat_L1.txt 0.00128088 9.8117e-05 0.00118277
2 Pubmed_feat_L1.txt 0.00137644 8.8329e-05 0.00128811
3 Pubmed_feat_L1.txt 0.00129525 9.8996e-05 0.00119625
4 Pubmed_feat_L1.txt 0.00137175 9.3465e-05 0.00127828
5 Pubmed_feat_L1.txt 0.00140469 0.000103903 0.00130079
6 Pubmed_feat_L1.txt 0.00133922 8.6132e-05 0.00125309
7 Pubmed_feat_L1.txt 0.00135313 0.000101999 0.00125113
8 Pubmed_feat_L1.txt 0.00126002 9.7811e-05 0.00116221
9 Pubmed_feat_L1.txt 0.0014177 9.7015e-05 0.00132069
10 Pubmed_feat_L1.txt 0.00133612 8.6452e-05 0.00124966
11 Pubmed_feat_L1.txt 0.00142173 9.5562e-05 0.00132617
12 Pubmed_feat_L1.txt 0.00153927 9.2925e-05 0.00144635
13 Pubmed_feat_L1.txt 0.00135213 0.00010515 0.00124698
14 Pubmed_feat_L1.txt 0.00145339 8.7238e-05 0.00136616
15 Pubmed_feat_L1.txt 0.00138305 0.000100752 0.0012823
0 Pubmed_A.txt 0.000997138 0.000940188 5.695e-05
1 Pubmed_A.txt 0.00118494 0.00112847 5.6466e-05
2 Pubmed_A.txt 0.00133544 0.00128746 4.798e-05
3 Pubmed_A.txt 0.00129945 0.00123243 6.7024e-05
4 Pubmed_A.txt 0.00124902 0.0011881 6.0914e-05
5 Pubmed_A.txt 0.00124696 0.00117121 7.5744e-05
6 Pubmed_A.txt 0.00141192 0.00132071 9.1203e-05
7 Pubmed_A.txt 0.00140734 0.00127003 0.000137311
8 Pubmed_A.txt 0.00115241 0.00097438 0.000178025
9 Pubmed_A.txt 0.00130223 0.00113146 0.000170765
10 Pubmed_A.txt 0.00148922 0.00129226 0.000196967
11 Pubmed_A.txt 0.00138225 0.00123816 0.000144088
12 Pubmed_A.txt 0.00130483 0.00119146 0.000113372
13 Pubmed_A.txt 0.00138694 0.00117927 0.000207672
14 Pubmed_A.txt 0.00152101 0.00132879 0.000192213
15 Pubmed_A.txt 0.0015714 0.00127945 0.000291949
TACC:  Shutdown complete. Exiting. 
