1767 16
0 0 0.61455876
0 1 -0.5494859
0 2 -0.4797741
0 3 -1.8667979
0 4 -0.78695345
0 5 -0.72666705
0 6 0.1682415
0 7 -1.9028137
0 8 1.31379
0 9 -0.92123044
0 10 0.8072394
0 11 -0.2953714
0 12 -0.10977033
0 13 0.21826607
0 14 -0.3789851
0 15 -0.6167023
1 0 0.83086336
1 1 -0.5736952
1 2 -2.4893785
1 3 -0.35759068
1 4 -2.8537912
1 5 -2.8804808
1 6 0.44010746
1 7 1.2760689
1 8 1.6708522
1 9 -0.051720865
1 10 -0.60501283
1 11 -1.148029
1 12 1.1760713
1 13 0.48022103
1 14 -0.7525047
1 15 0.8309256
2 0 0.30856714
2 1 -1.5549841
2 2 -0.3966928
2 3 -4.844113
2 4 1.2618113
2 5 -0.05752468
2 6 0.15807998
2 7 -0.19429868
2 8 2.8581028
2 9 -1.1135219
2 10 1.4130955
2 11 -1.4800858
2 12 -1.261551
2 13 0.77980417
2 14 0.06828457
2 15 2.5964727
3 0 0.6100668
3 1 -0.59190917
3 2 -2.2993755
3 3 -2.08886
3 4 -0.4505767
3 5 -1.1515583
3 6 -0.0071387887
3 7 -1.2438054
3 8 0.17313395
3 9 0.12766775
3 10 0.46418464
3 11 0.102847934
3 12 0.611719
3 13 -0.22934502
3 14 -0.80311084
3 15 0.41098022
4 0 0.10779804
4 1 1.0438964
4 2 -0.074712515
4 3 0.03797835
4 4 -1.4286767
4 5 -3.6655447
4 6 -0.6132344
4 7 1.1473749
4 8 2.8999486
4 9 -0.50701183
4 10 0.12609363
4 11 -2.5577757
4 12 0.2770778
4 13 1.5455866
4 14 -1.0276376
4 15 1.2240051
5 0 0.62412
5 1 -0.15163133
5 2 -1.119653
5 3 -1.3951613
5 4 0.92390347
5 5 -1.9216872
5 6 -0.44914144
5 7 -0.41525227
5 8 0.9864932
5 9 -0.95995736
5 10 0.056774914
5 11 -1.637965
5 12 0.034623414
5 13 0.15903047
5 14 -2.3134005
5 15 0.8533305
6 0 -0.8569721
6 1 1.7588968
6 2 -1.6562775
6 3 -0.241593
6 4 -0.83014566
6 5 -5.5022707
6 6 0.012708664
6 7 -0.06221664
6 8 2.0455186
6 9 1.9893734
6 10 -1.9354578
6 11 -1.0477449
6 12 0.12022728
6 13 -0.16316277
6 14 -1.290246
6 15 2.0495524
7 0 0.7645145
7 1 -0.07566565
7 2 -1.1740289
7 3 -0.6962161
7 4 0.1397233
7 5 -1.3963695
7 6 -0.028631687
7 7 -0.21355253
7 8 -1.036675
7 9 0.9898422
7 10 -0.6944327
7 11 -1.3697091
7 12 0.6288439
7 13 -0.22991364
7 14 -2.5126953
7 15 1.5238149
8 0 -0.63173187
8 1 -0.07962969
8 2 -2.8250895
8 3 -0.774027
8 4 -0.1368989
8 5 -3.2877645
8 6 -2.8630176
8 7 -6.441249
8 8 -0.7233573
8 9 0.31762102
8 10 0.33350414
8 11 -1.2202075
8 12 -2.199908
8 13 -0.8492078
8 14 -1.7171211
8 15 0.02210033
9 0 -1.4493334
9 1 -1.2565217
9 2 -1.5721948
9 3 -0.81790787
9 4 0.65982103
9 5 -3.0544925
9 6 -4.0089207
9 7 -6.995072
9 8 1.5001131
9 9 -1.2056832
9 10 2.678203
9 11 -1.900635
9 12 -6.547968
9 13 1.4455137
9 14 -2.1103737
9 15 -0.07126558
10 0 0.8786172
10 1 -0.7986671
10 2 -0.13841468
10 3 -1.896108
10 4 0.7805133
10 5 1.2821249
10 6 0.3928746
10 7 -1.6166515
10 8 0.49957216
10 9 0.5165622
10 10 0.3301674
10 11 -0.5147457
10 12 -0.7945163
10 13 -0.109945044
10 14 -0.055069447
10 15 0.42754787
11 0 8.0533495
11 1 5.486135
11 2 -3.404087
11 3 2.5832343
11 4 -0.50781554
11 5 7.059976
11 6 2.0500169
11 7 -2.8240697
11 8 -2.1859055
11 9 2.6735873
11 10 4.4278064
11 11 5.5269947
11 12 3.96815
11 13 5.917203
11 14 0.7455693
11 15 5.248248
12 0 -4.984461
12 1 -2.979822
12 2 -3.5176108
12 3 -2.8848248
12 4 -0.0065403283
12 5 -9.496971
12 6 -2.0568838
12 7 1.6736231
12 8 -2.0016487
12 9 1.5900061
12 10 -1.1978979
12 11 -3.2820482
12 12 1.8791269
12 13 -0.7074283
12 14 -2.7951095
12 15 2.6277537
13 0 0.50820386
13 1 0.17787856
13 2 0.36040616
13 3 -1.8517196
13 4 1.0227338
13 5 2.0256028
13 6 -0.1735512
13 7 -2.109537
13 8 0.45031625
13 9 2.0872772
13 10 0.46167147
13 11 0.12643659
13 12 -0.5552819
13 13 -0.6200387
13 14 -3.2093678
13 15 0.9762539
14 0 0.68362385
14 1 3.7158647
14 2 -4.5161777
14 3 0.7275045
14 4 -0.0076212287
14 5 -6.231888
14 6 0.6713761
14 7 -1.7716515
14 8 1.0837352
14 9 2.5233004
14 10 -0.3871941
14 11 0.048730135
14 12 1.4701109
14 13 1.8475537
14 14 -3.3284814
14 15 -0.9379163
15 0 -0.89999604
15 1 -0.71784484
15 2 -1.694046
15 3 -0.6773852
15 4 -0.58835566
15 5 -2.7359185
15 6 -0.64403176
15 7 0.77914137
15 8 1.8071294
15 9 -0.8307744
15 10 1.3154099
15 11 -1.1202276
15 12 -0.30668658
15 13 1.156812
15 14 -1.3954798
15 15 1.1269258
16 0 1.7338969
16 1 -2.0964754
16 2 -0.9451021
16 3 -2.091467
16 4 2.4233284
16 5 0.53686106
16 6 -0.94472367
16 7 2.2960763
16 8 0.56793296
16 9 -0.44660345
16 10 1.5975484
16 11 -1.1172045
16 12 0.2571165
16 13 -1.4413779
16 14 0.0016566515
16 15 3.1922636
17 0 -0.79015374
17 1 0.8745702
17 2 -1.6322103
17 3 -1.8188472
17 4 0.33470106
17 5 -2.1879969
17 6 -0.02585727
17 7 -0.6795337
17 8 0.26321113
17 9 0.7570542
17 10 -1.1101975
17 11 -1.6888919
17 12 0.25111473
17 13 0.1921252
17 14 -0.51124686
17 15 0.7143504
18 0 1.1909384
18 1 -1.0711348
18 2 -1.0777452
18 3 -1.7374498
18 4 0.34766412
18 5 0.060374737
18 6 0.36754525
18 7 -0.5214915
18 8 0.43178314
18 9 0.33018473
18 10 0.13956559
18 11 -0.6409074
18 12 -0.19827649
18 13 -0.44498485
18 14 0.2165615
18 15 0.35495746
19 0 1.2961079
19 1 1.0554504
19 2 -0.44497097
19 3 -0.5983088
19 4 1.4179596
19 5 2.4781413
19 6 -0.00071680546
19 7 1.1523764
19 8 -0.6017691
19 9 1.5312244
19 10 -4.376281
19 11 -0.673455
19 12 1.9015275
19 13 -4.4491057
19 14 0.8079689
19 15 0.99637604
20 0 2.7266972
20 1 2.4464355
20 2 -1.027267
20 3 2.3388386
20 4 -2.6963148
20 5 0.11369312
20 6 -3.7853284
20 7 -0.7170372
20 8 -0.13040592
20 9 2.1296237
20 10 -1.9278893
20 11 -0.7399763
20 12 2.5121138
20 13 -1.2002913
20 14 1.0169926
20 15 -0.2909571
21 0 -1.2258865
21 1 -0.6914663
21 2 -1.974288
21 3 -2.4318738
21 4 1.3680282
21 5 -3.7056794
21 6 -0.0449481
21 7 -1.6105926
21 8 0.5645226
21 9 0.30466932
21 10 0.14811063
21 11 0.57555187
21 12 0.26479793
21 13 -0.2134557
21 14 -2.6415284
21 15 0.4625349
22 0 -1.6065269
22 1 0.7518868
22 2 -1.3179284
22 3 -0.96234345
22 4 1.2528362
22 5 -0.19445956
22 6 -0.9731687
22 7 -0.30284077
22 8 -0.29847455
22 9 1.1737628
22 10 0.413284
22 11 -1.5157785
22 12 -0.18350771
22 13 -0.3438168
22 14 -1.624838
22 15 0.78184956
23 0 -0.044327915
23 1 2.1923857
23 2 -3.0365179
23 3 -0.8504409
23 4 0.08987799
23 5 -3.9104075
23 6 0.2922907
23 7 -1.7215242
23 8 3.347612
23 9 0.016291156
23 10 1.7790879
23 11 -0.08575487
23 12 0.4717584
23 13 3.7176352
23 14 -2.2197719
23 15 0.5772168
24 0 1.8120103
24 1 2.2849224
